Dataset,Limiar,Cost,Quality,Time,Memory
graph,279,279,1.0,0.0,0.02
eil51,426,641,1.5,0.02,0.45
st70,675,874,1.29,0.03,0.79
eil76,538,708,1.32,0.04,0.93
pr76,108159,145339,1.34,0.04,0.93
rat99,1211,1724,1.42,0.06,1.83
kroA100,21282,27212,1.28,0.06,1.87
kroB100,22141,25882,1.17,0.06,1.87
kroC100,20749,27967,1.35,0.07,1.87
kroD100,21294,27114,1.27,0.07,1.87
kroE100,22068,30508,1.38,0.06,1.87
rd100,7910,10792,1.36,0.06,1.87
eil101,629,831,1.32,0.07,2.05
lin105,14379,19499,1.36,0.07,2.05
pr107,44303,54239,1.22,0.07,2.12
pr124,59030,74141,1.26,0.1,2.79
bier127,118282,158638,1.34,0.1,3.05
ch130,6110,8129,1.33,0.11,3.04
pr136,96772,151914,1.57,0.12,3.31
pr144,58537,80597,1.38,0.14,3.68
ch150,6528,8334,1.28,0.15,3.98
kroA150,26524,35123,1.32,0.15,4.12
kroB150,26130,36155,1.38,0.14,3.98
pr152,73682,87999,1.19,0.15,4.21
u159,42080,57788,1.37,0.16,4.44
rat195,2323,3318,1.43,0.25,7.39
d198,15780,19219,1.22,0.26,7.61
kroA200,29368,40031,1.36,0.26,7.88
kroB200,29437,40711,1.38,0.27,7.88
ts225,126643,188010,1.48,0.33,9.7
tsp225,3919,5116,1.31,0.33,9.7
pr226,80369,116693,1.45,0.33,9.63
gil262,2378,3359,1.41,0.55,12.57
pr264,49135,66467,1.35,0.45,12.93
a280,2579,3630,1.41,0.57,14.36
pr299,48191,64647,1.34,0.67,16.17
lin318,42029,58146,1.38,0.75,18.1
linhp318,41345,58146,1.41,0.8,17.96
rd400,15281,20251,1.33,1.19,31.24
fl417,11861,16298,1.37,1.34,33.52
pr439,107217,144625,1.35,1.52,36.77
pcb442,50778,69365,1.37,1.54,37.2
d493,35002,45428,1.3,1.9,45.12
u574,36905,49084,1.33,2.62,59.53
rat575,6773,9439,1.39,2.63,59.85
p654,34643,49732,1.44,3.38,75.59
d657,48912,65731,1.34,3.27,76.22
u724,41910,57780,1.38,4.24,104.13
rat783,8806,12055,1.37,4.76,119.42
pr1002,259045,342245,1.32,7.74,185.42
u1060,224094,302915,1.35,8.54,205.33
vm1084,239297,315269,1.32,9.14,214.34
pcb1173,56892,80695,1.42,10.61,247.14
d1291,50801,74659,1.47,12.83,294.22
rl1304,252948,347783,1.37,13.27,300.38
rl1323,270199,380422,1.41,13.62,308.29
nrw1379,56638,79157,1.4,15.41,381.78
fl1400,20127,27916,1.39,15.6,391.72
u1432,152970,214431,1.4,16.02,407.11
fl1577,"[22204,22249]",31224,1.41,19.37,482.62
d1655,62128,85682,1.38,21.65,526.15
vm1748,336556,444659,1.32,24.14,580.07
u1817,57201,83502,1.46,26.17,620.59
rl1889,316536,449812,1.42,28.84,666.02
d2103,"[79952,80450]",124534,1.56,34.77,808.89
u2152,64253,95077,1.48,36.61,842.71
u2319,234256,320533,1.37,43.09,964.96
pr2392,378032,523133,1.38,46.13,1022.6
pcb3038,137694,196574,1.43,75.18,1804.9
fl3795,"[28723,28772]",39073,1.36,117.39,2684.08
